fold,batch,frac,seed,method,acc,subject
2,4,0.0,2,robust,80.55555555555556,S01
2,4,0.0,3,standard,79.44444444444444,S01
2,4,0.0,3,robust,80.55555555555556,S01
2,4,0.0,4,standard,79.44444444444444,S01
2,4,0.0,4,robust,80.55555555555556,S01
2,4,0.0,5,standard,79.44444444444444,S01
2,4,0.0,5,robust,80.55555555555556,S01
2,4,0.02,0,standard,78.33333333333333,S01
2,4,0.02,0,robust,79.44444444444446,S01
2,4,0.02,1,standard,78.88888888888889,S01
2,4,0.02,1,robust,78.88888888888889,S01
2,4,0.02,2,standard,76.66666666666666,S01
2,4,0.02,2,robust,80.0,S01
2,4,0.02,3,standard,77.77777777777779,S01
2,4,0.02,3,robust,80.55555555555556,S01
2,4,0.02,4,standard,78.33333333333333,S01
2,4,0.02,4,robust,81.11111111111111,S01
2,4,0.02,5,standard,78.88888888888889,S01
2,4,0.02,5,robust,81.11111111111111,S01
2,4,0.05,0,standard,77.22222222222223,S01
2,4,0.05,0,robust,79.44444444444446,S01
2,4,0.05,1,standard,77.77777777777779,S01
2,4,0.05,1,robust,78.88888888888889,S01
2,4,0.05,2,standard,77.77777777777779,S01
2,4,0.05,2,robust,79.44444444444446,S01
2,4,0.05,3,standard,77.77777777777779,S01
2,4,0.05,3,robust,79.44444444444446,S01
2,4,0.05,4,standard,77.22222222222221,S01
2,4,0.05,4,robust,79.44444444444446,S01
2,4,0.05,5,standard,77.77777777777779,S01
2,4,0.05,5,robust,80.0,S01
2,4,0.1,0,standard,77.77777777777779,S01
2,4,0.1,0,robust,79.44444444444446,S01
2,4,0.1,1,standard,76.11111111111111,S01
2,4,0.1,1,robust,78.88888888888889,S01
2,4,0.1,2,standard,76.66666666666667,S01
2,4,0.1,2,robust,78.88888888888889,S01
2,4,0.1,3,standard,76.66666666666667,S01
2,4,0.1,3,robust,79.44444444444446,S01
2,4,0.1,4,standard,77.22222222222223,S01
2,4,0.1,4,robust,80.0,S01
2,4,0.1,5,standard,75.0,S01
2,4,0.1,5,robust,79.44444444444446,S01
2,4,0.2,0,standard,72.77777777777777,S01
2,4,0.2,0,robust,78.88888888888889,S01
2,4,0.2,1,standard,73.33333333333333,S01
2,4,0.2,1,robust,80.0,S01
2,4,0.2,2,standard,70.0,S01
2,4,0.2,2,robust,78.88888888888889,S01
2,4,0.2,3,standard,74.44444444444444,S01
2,4,0.2,3,robust,79.44444444444444,S01
2,4,0.2,4,standard,71.66666666666667,S01
2,4,0.2,4,robust,80.0,S01
2,4,0.2,5,standard,70.55555555555556,S01
2,4,0.2,5,robust,80.0,S01
2,5,0.0,0,standard,74.44444444444444,S01
2,5,0.0,0,robust,75.00000000000001,S01
2,5,0.0,1,standard,74.44444444444444,S01
2,5,0.0,1,robust,75.00000000000001,S01
2,5,0.0,2,standard,74.44444444444444,S01
2,5,0.0,2,robust,75.00000000000001,S01
2,5,0.0,3,standard,74.44444444444444,S01
2,5,0.0,3,robust,75.00000000000001,S01
2,5,0.0,4,standard,74.44444444444444,S01
2,5,0.0,4,robust,75.00000000000001,S01
2,5,0.0,5,standard,74.44444444444444,S01
2,5,0.0,5,robust,75.00000000000001,S01
2,5,0.02,0,standard,73.33333333333333,S01
2,5,0.02,0,robust,75.00000000000001,S01
2,5,0.02,1,standard,72.22222222222221,S01
2,5,0.02,1,robust,74.44444444444444,S01
2,5,0.02,2,standard,72.77777777777779,S01
2,5,0.02,2,robust,73.88888888888889,S01
2,5,0.02,3,standard,71.11111111111111,S01
2,5,0.02,3,robust,73.88888888888889,S01
2,5,0.02,4,standard,72.22222222222221,S01
2,5,0.02,4,robust,75.00000000000001,S01
2,5,0.02,5,standard,72.77777777777777,S01
2,5,0.02,5,robust,75.00000000000001,S01
2,5,0.05,0,standard,71.1111111111111,S01
2,5,0.05,0,robust,75.00000000000001,S01
2,5,0.05,1,standard,72.22222222222221,S01
2,5,0.05,1,robust,74.44444444444444,S01
2,5,0.05,2,standard,72.22222222222221,S01
2,5,0.05,2,robust,73.33333333333334,S01
2,5,0.05,3,standard,71.66666666666667,S01
2,5,0.05,3,robust,74.44444444444444,S01
2,5,0.05,4,standard,71.66666666666666,S01
2,5,0.05,4,robust,74.44444444444444,S01
2,5,0.05,5,standard,71.1111111111111,S01
2,5,0.05,5,robust,73.88888888888889,S01
2,5,0.1,0,standard,71.11111111111111,S01
2,5,0.1,0,robust,73.33333333333334,S01
2,5,0.1,1,standard,70.0,S01
2,5,0.1,1,robust,75.00000000000001,S01
2,5,0.1,2,standard,70.0,S01
2,5,0.1,2,robust,73.33333333333334,S01
2,5,0.1,3,standard,71.11111111111111,S01
2,5,0.1,3,robust,75.00000000000001,S01
